County,State,Country,LastUpdate,Lat,Long,Confirmed,Deaths,Recovered,Date,Population,Confirmed_Change,Deaths_Change,Confirmed_POPPCT,Confirmed_POPADJ_GF,Confirmed_POPADJ_GF_Change,Deaths_POPPCT,Deaths_POPADJ_GF,Deaths_POPADJ_GF_Change
ALL,ALL,Zimbabwe,2020-03-27T23:23:03,-19.015438,29.154857,5,1,0,03-27-2020,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zimbabwe,2020-03-27T23:23:03,0.0,0.0,5,1,0,03-27-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zimbabwe,2020-03-26T23:48:18,-19.015438,29.154857,3,1,0,03-26-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zimbabwe,2020-03-26T23:48:18,0.0,0.0,3,1,0,03-26-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zimbabwe,2020-03-25T23:33:04,-19.015438,29.154857,3,1,0,03-25-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zimbabwe,2020-03-25T23:33:04,0.0,0.0,3,1,0,03-25-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zimbabwe,2020-03-24T23:37:15,-19.015438,29.154857,3,1,0,03-24-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zimbabwe,2020-03-24T23:37:15,0.0,0.0,3,1,0,03-24-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zimbabwe,2020-03-23T23:19:21,-19.015438,29.154857,3,1,0,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zimbabwe,2020-03-23T23:19:21,0.0,0.0,3,1,0,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zambia,2020-03-27T23:23:03,-13.133897,27.849332,22,0,0,03-27-2020,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zambia,2020-03-27T23:23:03,0.0,0.0,22,0,0,03-27-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zambia,2020-03-26T23:48:18,-13.133897,27.849332,16,0,0,03-26-2020,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zambia,2020-03-26T23:48:18,0.0,0.0,16,0,0,03-26-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zambia,2020-03-25T23:33:04,-13.133897,27.849332,12,0,0,03-25-2020,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zambia,2020-03-25T23:33:04,0.0,0.0,12,0,0,03-25-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zambia,2020-03-24T23:37:15,-13.133897,27.849332,3,0,0,03-24-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zambia,2020-03-24T23:37:15,0.0,0.0,3,0,0,03-24-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zambia,2020-03-23T23:19:21,-13.133897,27.849332,3,0,0,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,ALL,Zambia,2020-03-23T23:19:21,0.0,0.0,3,0,0,03-23-2020,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
